id;gdp;gdp_per_capita;gdp_source;gdp_year
224;18.77;0.000052;country_total_population_share;2024
225;20.22;0.000052;country_total_population_share;2024
226;19.55;0.000052;country_total_population_share;2024
227;30.99;0.000052;country_total_population_share;2024
228;20.16;0.000052;country_total_population_share;2024
229;29.21;0.000052;country_total_population_share;2024
230;21.23;0.000052;country_total_population_share;2024
231;40.65;0.000052;country_total_population_share;2024
232;45.23;0.000052;country_total_population_share;2024
233;25.81;0.000052;country_total_population_share;2024
234;26.45;0.000052;country_total_population_share;2024
235;36.87;0.000052;country_total_population_share;2024
236;41.38;0.000052;country_total_population_share;2024
237;29.34;0.000052;country_total_population_share;2024
238;28.58;0.000052;country_total_population_share;2024
239;46.85;0.000052;country_total_population_share;2024
240;46.77;0.000052;country_total_population_share;2024
241;43.09;0.000052;country_total_population_share;2024
242;45.05;0.000052;country_total_population_share;2024
243;42.97;0.000052;country_total_population_share;2024
244;39.18;0.000052;country_total_population_share;2024
245;34.54;0.000052;country_total_population_share;2024
246;36.52;0.000052;country_total_population_share;2024
247;37.37;0.000052;country_total_population_share;2024
248;37.50;0.000052;country_total_population_share;2024
249;73.23;0.000052;country_total_population_share;2024
250;53.58;0.000052;country_total_population_share;2024
251;27.44;0.000052;country_total_population_share;2024
252;40.57;0.000052;country_total_population_share;2024
253;23.40;0.000052;country_total_population_share;2024
254;26.13;0.000052;country_total_population_share;2024
255;17.56;0.000052;country_total_population_share;2024
256;24.60;0.000052;country_total_population_share;2024
257;31.89;0.000052;country_total_population_share;2024
258;37.57;0.000052;country_total_population_share;2024
259;47.73;0.000052;country_total_population_share;2024
260;21.94;0.000052;country_total_population_share;2024
261;25.68;0.000052;country_total_population_share;2024
262;25.45;0.000052;country_total_population_share;2024
263;23.62;0.000052;country_total_population_share;2024
264;21.16;0.000052;country_total_population_share;2024
265;23.59;0.000052;country_total_population_share;2024
266;43.92;0.000052;country_total_population_share;2024
267;26.64;0.000052;country_total_population_share;2024
268;48.24;0.000052;country_total_population_share;2024
269;40.78;0.000052;country_total_population_share;2024
270;45.79;0.000052;country_total_population_share;2024
271;15.82;0.000052;country_total_population_share;2024
272;34.38;0.000052;country_total_population_share;2024
273;30.07;0.000052;country_total_population_share;2024
274;28.93;0.000052;country_total_population_share;2024
275;43.64;0.000052;country_total_population_share;2024
276;40.96;0.000052;country_total_population_share;2024
277;37.85;0.000052;country_total_population_share;2024
278;26.59;0.000052;country_total_population_share;2024
279;43.33;0.000052;country_total_population_share;2024
280;8.86;0.000052;country_total_population_share;2024
281;73.73;0.000052;country_total_population_share;2024
282;168.43;0.000052;country_total_population_share;2024
283;31.33;0.000052;country_total_population_share;2024
