source_country;source_region;rows
Latvia;Pļaviņas Municipality;1
Latvia;Rauna Municipality;1
Latvia;Riebiņi Municipality;1
Latvia;Roja Municipality;1
Latvia;Ropaži Municipality;1
Latvia;Rucava Municipality;1
Latvia;Rugāji Municipality;1
Latvia;Rundāle Municipality;1
Latvia;Rūjiena Municipality;1
Latvia;Sala Municipality;1
Latvia;Salacgrīva Municipality;1
Latvia;Salaspils Municipality;1
Latvia;Saulkrasti Municipality;1
Latvia;Sigulda Municipality;1
Latvia;Skrunda Municipality;1
Latvia;Skrīveri Municipality;1
Latvia;Smiltene Municipality;1
Latvia;South Kurzeme Municipality;1
Latvia;Stopiņi Municipality;1
Latvia;Strenči Municipality;1
Latvia;Sēja Municipality;1
Latvia;Tērvete Municipality;1
Latvia;Valmiera Municipality;1
Latvia;Varakļāni Municipality;1
Latvia;Vecpiebalga Municipality;1
Latvia;Viesīte Municipality;1
Latvia;Viļaka Municipality;1
Latvia;Viļāni Municipality;1
Latvia;Vārkava Municipality;1
Latvia;Zilupe Municipality;1
Latvia;Ādaži Municipality;1
Latvia;Ērgļi Municipality;1
Liechtenstein;Balzers;1
Liechtenstein;Eschen;1
Liechtenstein;Gamprin;1
Liechtenstein;Mauren;1
Liechtenstein;Planken;1
Liechtenstein;Ruggell;1
Liechtenstein;Schaan;1
Liechtenstein;Schellenberg;1
Liechtenstein;Triesen;1
Liechtenstein;Triesenberg;1
Liechtenstein;Vaduz;1
Lithuania;Akmenė District Municipality;1
Lithuania;Anykščiai District Municipality;1
Lithuania;Birštonas Municipality;1
Lithuania;Biržai District Municipality;1
Lithuania;Druskininkai municipality;1
Lithuania;Elektrėnai Municipality;1
Lithuania;Ignalina District Municipality;1
Lithuania;Jonava District Municipality;1
Lithuania;Joniškis District Municipality;1
Lithuania;Jurbarkas District Municipality;1
Lithuania;Kaišiadorys District Municipality;1
Lithuania;Kalvarija Municipality;1
Lithuania;Kazlų Rūda Municipality;1
Lithuania;Kelmė District Municipality;1
Lithuania;Kretinga Municipality;1
Lithuania;Kupiškis District Municipality;1
Lithuania;Kėdainiai District Municipality;1
Lithuania;Lazdijai District Municipality;1
Lithuania;Mažeikiai District Municipality;1
Lithuania;Molėtai District Municipality;1
Lithuania;Neringa Municipality;1
Lithuania;Pagėgiai Municipality;1
Lithuania;Pakruojis District Municipality;1
Lithuania;Palanga City Municipality;1
Lithuania;Pasvalys District Municipality;1
Lithuania;Plungė District Municipality;1
Lithuania;Prienai District Municipality;1
Lithuania;Radviliškis District Municipality;1
Lithuania;Raseiniai District Municipality;1
Lithuania;Rietavas Municipality;1
Lithuania;Rokiškis District Municipality;1
Lithuania;Trakai District Municipality;1
Lithuania;Ukmergė District Municipality;1
Lithuania;Varėna District Municipality;1
Lithuania;Vilkaviškis District Municipality;1
Lithuania;Visaginas Municipality;1
Lithuania;Zarasai District Municipality;1
Lithuania;Šalčininkai District Municipality;1
Lithuania;Šilalė District Municipality;1
Lithuania;Šilutė District Municipality;1
Lithuania;Širvintos District Municipality;1
Lithuania;Švenčionys District Municipality;1
Luxembourg;Canton of Capellen;1
Luxembourg;Canton of Clervaux;1
Luxembourg;Canton of Echternach;1
Luxembourg;Canton of Esch-sur-Alzette;1
Luxembourg;Canton of Grevenmacher;1
