id;population;population_source;population_date;source_region;source_country;match_method
835;126830;imputed_scaled_official;2023-01-01;;;unmatched
836;686676;imputed_scaled_official;2023-01-01;;;unmatched
837;523389;imputed_scaled_official;2023-01-01;;;unmatched
838;450953;imputed_scaled_official;2023-01-01;;;unmatched
839;655979;imputed_scaled_official;2023-01-01;;;unmatched
840;899277;imputed_scaled_official;2023-01-01;;;unmatched
841;354352;imputed_scaled_official;2023-01-01;;;unmatched
842;469563;imputed_scaled_official;2023-01-01;;;unmatched
843;634395;imputed_scaled_official;2023-01-01;;;unmatched
844;550299;imputed_scaled_official;2023-01-01;;;unmatched
845;888080;imputed_scaled_official;2023-01-01;;;unmatched
846;583841;imputed_scaled_official;2023-01-01;;;unmatched
847;1231559;imputed_scaled_official;2023-01-01;;;unmatched
848;197473;imputed_scaled_official;2023-01-01;;;unmatched
849;306175;imputed_scaled_official;2023-01-01;;;unmatched
850;241191;imputed_scaled_official;2023-01-01;;;unmatched
851;399252;imputed_scaled_official;2023-01-01;;;unmatched
852;438673;imputed_scaled_official;2023-01-01;;;unmatched
853;1022966;imputed_scaled_official;2023-01-01;;;unmatched
854;1363977;imputed_scaled_official;2023-01-01;;;unmatched
855;1209734;imputed_scaled_official;2023-01-01;;;unmatched
856;745144;imputed_scaled_official;2023-01-01;;;unmatched
857;1205876;imputed_scaled_official;2023-01-01;;;unmatched
858;1988287;imputed_scaled_official;2023-01-01;;;unmatched
859;1434279;imputed_scaled_official;2023-01-01;;;unmatched
860;1439922;imputed_scaled_official;2023-01-01;;;unmatched
861;804306;imputed_scaled_official;2023-01-01;;;unmatched
862;2409159;imputed_scaled_official;2023-01-01;;;unmatched
863;496020;imputed_scaled_official;2023-01-01;;;unmatched
864;1287538;imputed_scaled_official;2023-01-01;;;unmatched
865;720382;imputed_scaled_official;2023-01-01;;;unmatched
866;371925;imputed_scaled_official;2023-01-01;;;unmatched
867;882874;imputed_scaled_official;2023-01-01;;;unmatched
868;2637152;imputed_scaled_official;2023-01-01;;;unmatched
869;1174147;imputed_scaled_official;2023-01-01;;;unmatched
870;923835;matched_scaled_official;2022-01-01;Chernihiv Oblast;Ukraine;matched
871;983581;matched_scaled_official;2022-01-01;Volyn Oblast;Ukraine;matched
872;1099555;matched_scaled_official;2022-01-01;Rivne Oblast;Ukraine;matched
873;1135426;matched_scaled_official;2022-01-01;Zhytomyr Oblast;Ukraine;matched
874;1728688;matched_scaled_official;2022-01-01;Kyiv Oblast;Ukraine;matched
875;1198449;matched_scaled_official;2022-01-01;Zakarpattia Oblast;Ukraine;matched
876;857524;matched_scaled_official;2022-01-01;Chernivtsi Oblast;Ukraine;matched
877;1301825;matched_scaled_official;2022-01-01;Ivano-Frankivsk Oblast;Ukraine;matched
878;2264425;matched_scaled_official;2022-01-01;Odesa Oblast;Ukraine;fuzzy_best
879;1453686;matched_scaled_official;2022-01-01;Vinnytsia Oblast;Ukraine;matched
880;2386479;matched_scaled_official;2022-01-01;Lviv Oblast;Ukraine;matched
881;997464;matched_scaled_official;2022-01-01;Sumy Oblast;Ukraine;matched
882;2502838;matched_scaled_official;2022-01-01;Kharkiv Oblast;Ukraine;matched
883;2087625;matched_scaled_official;2018-01-01;Luhansk Oblast;Ukraine;matched
884;4045105;matched_scaled_official;2018-01-01;Donetsk Oblast;Ukraine;matched
885;964554;matched_scaled_official;2022-01-01;Kherson Oblast;Ukraine;matched
886;1577863;matched_scaled_official;2022-01-01;Zaporizhzhia Oblast;Ukraine;matched
887;1051440;matched_scaled_official;2022-01-01;Mykolaiv Oblast;Ukraine;matched
888;1302269;matched_scaled_official;2022-01-01;Poltava Oblast;Ukraine;matched
889;1183381;matched_scaled_official;2022-01-01;Khmelnytskyi Oblast;Ukraine;matched
890;983925;matched_scaled_official;2022-01-01;Ternopil Oblast;Ukraine;matched
891;2981960;matched_scaled_official;2022-01-01;Dnipropetrovsk Oblast;Ukraine;matched
892;1117814;matched_scaled_official;2022-01-01;Cherkasy Oblast;Ukraine;matched
893;870289;matched_scaled_official;2022-01-01;Kirovohrad Oblast;Ukraine;matched
